song,artist,date,rank
Echame La Culpa,Luis Fonsi &amp; Demi Lovato,2018-01-20,60
Greatest Love Story,LANCO,2018-01-20,61
Rubbin Off The Paint,YBN Nahmir,2018-01-20,62
Losing Sleep,Chris Young,2018-01-20,63
This Is Me,Keala Settle &amp; The Greatest Showman Ensemble,2018-01-20,64
Never Be The Same,Camila Cabello,2018-01-20,65
I'll Name The Dogs,Blake Shelton,2018-01-20,66
Candy Paint,Post Malone,2018-01-20,67
You Broke Up With Me,Walker Hayes,2018-01-20,68
Written In The Sand,Old Dominion,2018-01-20,69
Heaven,Kane Brown,2018-01-20,70
Pick It Up,Famous Dex Featuring A$AP Rocky,2018-01-20,71
Stir Fry,Migos,2018-01-20,72
Kooda,6ix9ine,2018-01-20,73
MIC Drop,BTS Featuring Desiigner,2018-01-20,74
No Smoke,YoungBoy Never Broke Again,2018-01-20,75
Betrayed,Lil Xan,2018-01-20,76
Five More Minutes,Scotty McCreery,2018-01-20,77
Rewrite The Stars,Zac Efron &amp; Zendaya,2018-01-20,78
Ice Tray,Quavo &amp; Lil Yachty,2018-01-20,79
...Ready For It?,Taylor Swift,2018-01-20,80
All On Me,Devin Dawson,2018-01-20,81
For You (Fifty Shades Freed),Liam Payne &amp; Rita Ora,2018-01-20,82
Legends,Kelsea Ballerini,2018-01-20,83
One Foot,WALK THE MOON,2018-01-20,84
Nowadays,Lil Skies Featuring Landon Cube,2018-01-20,85
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks &amp; Alisa Ueno",2018-01-20,86
My Dawg,Lil Baby,2018-01-20,87
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya &amp; The Greatest Showman Ensemble",2018-01-20,88
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage &amp; Rvssian",2018-01-20,89
Corazon,Maluma X Nego do Borel,2018-01-20,90
Broken Halos,Chris Stapleton,2018-01-20,91
I Miss You,Clean Bandit Featuring Julia Michaels,2018-01-20,92
Too Much To Ask,Niall Horan,2018-01-20,93
Mayores,Becky G Featuring Bad Bunny,2018-01-20,94
Beautiful Trauma,P!nk,2018-01-20,95
Female,Keith Urban,2018-01-20,96
Home,"Machine Gun Kelly, X Ambassadors &amp; Bebe Rexha",2018-01-20,97
Red Roses,Lil Skies Featuring Landon Cube,2018-01-20,98
Never Enough,Loren Allred,2018-01-20,99
Juice,Yo Gotti,2018-01-20,100
Perfect,Ed Sheeran,2018-01-13,1
Havana,Camila Cabello Featuring Young Thug,2018-01-13,2
Rockstar,Post Malone Featuring 21 Savage,2018-01-13,3
Thunder,Imagine Dragons,2018-01-13,4
No Limit,G-Eazy Featuring A$AP Rocky &amp; Cardi B,2018-01-13,5
Bad At Love,Halsey,2018-01-13,6
Too Good At Goodbyes,Sam Smith,2018-01-13,7
MotorSport,"Migos, Nicki Minaj &amp; Cardi B",2018-01-13,8
Gucci Gang,Lil Pump,2018-01-13,9
Bodak Yellow (Money Moves),Cardi B,2018-01-13,10
New Rules,Dua Lipa,2018-01-13,11
Feel It Still,Portugal. The Man,2018-01-13,12
Shape Of You,Ed Sheeran,2018-01-13,13
Love.,Kendrick Lamar Featuring Zacari,2018-01-13,14
Sorry Not Sorry,Demi Lovato,2018-01-13,15
Believer,Imagine Dragons,2018-01-13,16
Him & I,G-Eazy &amp; Halsey,2018-01-13,17
Let You Down,NF,2018-01-13,18
Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-13,19
Gummo,6ix9ine,2018-01-13,20
What Lovers Do,Maroon 5 Featuring SZA,2018-01-13,21
Young Dumb & Broke,Khalid,2018-01-13,22
I Fall Apart,Post Malone,2018-01-13,23
Meant To Be,Bebe Rexha &amp; Florida Georgia Line,2018-01-13,24
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2018-01-13,25
I Get The Bag,Gucci Mane Featuring Migos,2018-01-13,26
How Long,Charlie Puth,2018-01-13,27
Wolves,Selena Gomez X Marshmello,2018-01-13,28
Bank Account,21 Savage,2018-01-13,29
Mi Gente,J Balvin &amp; Willy William Featuring Beyonce,2018-01-13,30
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-13,31
That's What I Like,Bruno Mars,2018-01-13,32
1-800-273-8255,Logic Featuring Alessia Cara &amp; Khalid,2018-01-13,33
Attention,Charlie Puth,2018-01-13,34
Finesse,Bruno Mars &amp; Cardi B,2018-01-13,35
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2018-01-13,36
The Weekend,SZA,2018-01-13,37
Sky Walker,Miguel Featuring Travis Scott,2018-01-13,38
End Game,Taylor Swift Featuring Ed Sheeran &amp; Future,2018-01-13,39
Let Me Go,Hailee Steinfeld &amp; Alesso Featuring Florida Georgia Line &amp; Watt,2018-01-13,40
Silence,Marshmello Featuring Khalid,2018-01-13,41
Unforgettable,French Montana Featuring Swae Lee,2018-01-13,42
What About Us,P!nk,2018-01-13,43
Marry Me,Thomas Rhett,2018-01-13,44
River,Eminem Featuring Ed Sheeran,2018-01-13,45
Like I Loved You,Brett Young,2018-01-13,46
Roll In Peace,Kodak Black Featuring XXXTENTACION,2018-01-13,47
Lemon,N*E*R*D &amp; Rihanna,2018-01-13,48
Ric Flair Drip,Offset &amp; Metro Boomin,2018-01-13,49
Lights Down Low,MAX Featuring gnash,2018-01-13,50
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie &amp; Kodak Black",2018-01-13,51
Yours,Russell Dickerson,2018-01-13,52
Greatest Love Story,LANCO,2018-01-13,53
Good Old Days,Macklemore Featuring Kesha,2018-01-13,54
Look What You Made Me Do,Taylor Swift,2018-01-13,55
I'll Name The Dogs,Blake Shelton,2018-01-13,56
Round Here Buzz,Eric Church,2018-01-13,57
...Ready For It?,Taylor Swift,2018-01-13,58
Candy Paint,Post Malone,2018-01-13,59
Rubbin Off The Paint,YBN Nahmir,2018-01-13,60
La Modelo,Ozuna x Cardi B,2018-01-13,61
I Could Use A Love Song,Maren Morris,2018-01-13,62
Losing Sleep,Chris Young,2018-01-13,63
Echame La Culpa,Luis Fonsi &amp; Demi Lovato,2018-01-13,64
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018-01-13,65
MIC Drop,BTS Featuring Desiigner,2018-01-13,66
You Broke Up With Me,Walker Hayes,2018-01-13,67
Kooda,6ix9ine,2018-01-13,68
Light It Up,Luke Bryan,2018-01-13,69
Written In The Sand,Old Dominion,2018-01-13,70
Never Be The Same,Camila Cabello,2018-01-13,71
Tell Me You Love Me,Demi Lovato,2018-01-13,72
No Smoke,YoungBoy Never Broke Again,2018-01-13,73
Ice Tray,Quavo &amp; Lil Yachty,2018-01-13,74
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage &amp; Rvssian",2018-01-13,75
Betrayed,Lil Xan,2018-01-13,76
Pick It Up,Famous Dex Featuring A$AP Rocky,2018-01-13,77
Five More Minutes,Scotty McCreery,2018-01-13,78
Legends,Kelsea Ballerini,2018-01-13,79
One Foot,WALK THE MOON,2018-01-13,80
Mayores,Becky G Featuring Bad Bunny,2018-01-13,81
Heaven,Kane Brown,2018-01-13,82
This Is Me,Keala Settle &amp; The Greatest Showman Ensemble,2018-01-13,83
My Dawg,Lil Baby,2018-01-13,84
Rewrite The Stars,Zac Efron &amp; Zendaya,2018-01-13,85
Too Much To Ask,Niall Horan,2018-01-13,86
All On Me,Devin Dawson,2018-01-13,87
Never Enough,Loren Allred,2018-01-13,88
Stir Fry,Migos,2018-01-13,89
Juice,Yo Gotti,2018-01-13,90
Broken Halos,Chris Stapleton,2018-01-13,91
Corazon,Maluma X Nego do Borel,2018-01-13,92
Female,Keith Urban,2018-01-13,93
Dusk Till Dawn,Zayn Featuring Sia,2018-01-13,94
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya &amp; The Greatest Showman Ensemble",2018-01-13,95
When We,Tank,2018-01-13,96
Wanted You,NAV Featuring Lil Uzi Vert,2018-01-13,97
F**k Love,XXXTENTACION Featuring Trippie Redd,2018-01-13,98
Home,"Machine Gun Kelly, X Ambassadors &amp; Bebe Rexha",2018-01-13,99
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks &amp; Alisa Ueno",2018-01-13,100
Perfect,Ed Sheeran,2018-01-06,1
Rockstar,Post Malone Featuring 21 Savage,2018-01-06,2
Havana,Camila Cabello Featuring Young Thug,2018-01-06,3
No Limit,G-Eazy Featuring A$AP Rocky &amp; Cardi B,2018-01-06,4
Thunder,Imagine Dragons,2018-01-06,5
Gucci Gang,Lil Pump,2018-01-06,6
MotorSport,"Migos, Nicki Minaj &amp; Cardi B",2018-01-06,7
Too Good At Goodbyes,Sam Smith,2018-01-06,8
Bad At Love,Halsey,2018-01-06,9
Bodak Yellow (Money Moves),Cardi B,2018-01-06,10
Love.,Kendrick Lamar Featuring Zacari,2018-01-06,11
New Rules,Dua Lipa,2018-01-06,12
All I Want For Christmas Is You,Mariah Carey,2018-01-06,13
Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-06,14
Gummo,6ix9ine,2018-01-06,15
I Fall Apart,Post Malone,2018-01-06,16
Let You Down,NF,2018-01-06,17
Young Dumb & Broke,Khalid,2018-01-06,18
Shape Of You,Ed Sheeran,2018-01-06,19
Sorry Not Sorry,Demi Lovato,2018-01-06,20
What Lovers Do,Maroon 5 Featuring SZA,2018-01-06,21
I Get The Bag,Gucci Mane Featuring Migos,2018-01-06,22
Feel It Still,Portugal. The Man,2018-01-06,23
Him & I,G-Eazy &amp; Halsey,2018-01-06,24
Believer,Imagine Dragons,2018-01-06,25
Meant To Be,Bebe Rexha &amp; Florida Georgia Line,2018-01-06,26
How Long,Charlie Puth,2018-01-06,27
Bank Account,21 Savage,2018-01-06,28
Wolves,Selena Gomez X Marshmello,2018-01-06,29
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2018-01-06,30
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-06,31
Mi Gente,J Balvin &amp; Willy William Featuring Beyonce,2018-01-06,32
The Weekend,SZA,2018-01-06,33
1-800-273-8255,Logic Featuring Alessia Cara &amp; Khalid,2018-01-06,34
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2018-01-06,35
Rockin' Around The Christmas Tree,Brenda Lee,2018-01-06,36
That's What I Like,Bruno Mars,2018-01-06,37
It's The Most Wonderful Time Of The Year,Andy Williams,2018-01-06,38
Attention,Charlie Puth,2018-01-06,39
End Game,Taylor Swift Featuring Ed Sheeran &amp; Future,2018-01-06,40
Sky Walker,Miguel Featuring Travis Scott,2018-01-06,41
The Christmas Song (Merry Christmas To You),Nat King Cole,2018-01-06,42
River,Eminem Featuring Ed Sheeran,2018-01-06,43
Silence,Marshmello Featuring Khalid,2018-01-06,44
Marry Me,Thomas Rhett,2018-01-06,45
A Holly Jolly Christmas,Burl Ives,2018-01-06,46
Unforgettable,French Montana Featuring Swae Lee,2018-01-06,47
What About Us,P!nk,2018-01-06,48
Lemon,N*E*R*D &amp; Rihanna,2018-01-06,49
Candy Paint,Post Malone,2018-01-06,50
Roll In Peace,Kodak Black Featuring XXXTENTACION,2018-01-06,51
La Modelo,Ozuna x Cardi B,2018-01-06,52
Ric Flair Drip,Offset &amp; Metro Boomin,2018-01-06,53
Lights Down Low,MAX Featuring gnash,2018-01-06,54
Let Me Go,Hailee Steinfeld &amp; Alesso Featuring Florida Georgia Line &amp; Watt,2018-01-06,55
Like I Loved You,Brett Young,2018-01-06,56
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie &amp; Kodak Black",2018-01-06,57
Greatest Love Story,LANCO,2018-01-06,58
Rubbin Off The Paint,YBN Nahmir,2018-01-06,59
Good Old Days,Macklemore Featuring Kesha,2018-01-06,60
...Ready For It?,Taylor Swift,2018-01-06,61
Yours,Russell Dickerson,2018-01-06,62
I'll Name The Dogs,Blake Shelton,2018-01-06,63
The Race,Tay-K,2018-01-06,64
Eye 2 Eye,Huncho Jack Featuring Takeoff,2018-01-06,65
Look What You Made Me Do,Taylor Swift,2018-01-06,66
Kooda,6ix9ine,2018-01-06,67
Modern Slavery,Huncho Jack,2018-01-06,68
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,2018-01-06,69
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018-01-06,70
Black & Chinese,Huncho Jack,2018-01-06,71
Round Here Buzz,Eric Church,2018-01-06,72
Light It Up,Luke Bryan,2018-01-06,73
Echame La Culpa,Luis Fonsi &amp; Demi Lovato,2018-01-06,74
Betrayed,Lil Xan,2018-01-06,75
Losing Sleep,Chris Young,2018-01-06,76
No Smoke,YoungBoy Never Broke Again,2018-01-06,77
Tell Me You Love Me,Demi Lovato,2018-01-06,78
You Broke Up With Me,Walker Hayes,2018-01-06,79
Ice Tray,Quavo &amp; Lil Yachty,2018-01-06,80
I Could Use A Love Song,Maren Morris,2018-01-06,81
MIC Drop,BTS Featuring Desiigner,2018-01-06,82
Dubai Shit,Huncho Jack Featuring Offset,2018-01-06,83
My Dawg,Lil Baby,2018-01-06,84
Pick It Up,Famous Dex Featuring A$AP Rocky,2018-01-06,85
Written In The Sand,Old Dominion,2018-01-06,86
Huncho Jack,Huncho Jack,2018-01-06,87
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage &amp; Rvssian",2018-01-06,88
Five More Minutes,Scotty McCreery,2018-01-06,89
Motorcycle Patches,Huncho Jack,2018-01-06,90
Mayores,Becky G Featuring Bad Bunny,2018-01-06,91
Saint,Huncho Jack,2018-01-06,92
Walk On Water,Eminem Featuring Beyonce,2018-01-06,93
Stir Fry,Migos,2018-01-06,94
Home,"Machine Gun Kelly, X Ambassadors &amp; Bebe Rexha",2018-01-06,95
F**k Love,XXXTENTACION Featuring Trippie Redd,2018-01-06,96
Legends,Kelsea Ballerini,2018-01-06,97
Too Much To Ask,Niall Horan,2018-01-06,98
Dusk Till Dawn,Zayn Featuring Sia,2018-01-06,99
Juice,Yo Gotti,2018-01-06,100
Perfect,Ed Sheeran,2017-12-30,1
Rockstar,Post Malone Featuring 21 Savage,2017-12-30,2
Havana,Camila Cabello Featuring Young Thug,2017-12-30,3
Gucci Gang,Lil Pump,2017-12-30,4
Thunder,Imagine Dragons,2017-12-30,5
MotorSport,"Migos, Nicki Minaj &amp; Cardi B",2017-12-30,6
Too Good At Goodbyes,Sam Smith,2017-12-30,7
Bad At Love,Halsey,2017-12-30,8
All I Want For Christmas Is You,Mariah Carey,2017-12-30,9
No Limit,G-Eazy Featuring A$AP Rocky &amp; Cardi B,2017-12-30,10
Bodak Yellow (Money Moves),Cardi B,2017-12-30,11
Gummo,6ix9ine,2017-12-30,12
What Lovers Do,Maroon 5 Featuring SZA,2017-12-30,13
New Rules,Dua Lipa,2017-12-30,14
I Get The Bag,Gucci Mane Featuring Migos,2017-12-30,15
Let You Down,NF,2017-12-30,16
Feel It Still,Portugal. The Man,2017-12-30,17
Sorry Not Sorry,Demi Lovato,2017-12-30,18
I Fall Apart,Post Malone,2017-12-30,19
Mi Gente,J Balvin &amp; Willy William Featuring Beyonce,2017-12-30,20
Wolves,Selena Gomez X Marshmello,2017-12-30,21
1-800-273-8255,Logic Featuring Alessia Cara &amp; Khalid,2017-12-30,22
Shape Of You,Ed Sheeran,2017-12-30,23
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2017-12-30,24
Love.,Kendrick Lamar Featuring Zacari,2017-12-30,25
Him & I,G-Eazy &amp; Halsey,2017-12-30,26
Bank Account,21 Savage,2017-12-30,27
Meant To Be,Bebe Rexha &amp; Florida Georgia Line,2017-12-30,28
How Long,Charlie Puth,2017-12-30,29
Silence,Marshmello Featuring Khalid,2017-12-30,30
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-12-30,31
Young Dumb & Broke,Khalid,2017-12-30,32
Believer,Imagine Dragons,2017-12-30,33
Rockin' Around The Christmas Tree,Brenda Lee,2017-12-30,34
It's The Most Wonderful Time Of The Year,Andy Williams,2017-12-30,35
Sky Walker,Miguel Featuring Travis Scott,2017-12-30,36
...Ready For It?,Taylor Swift,2017-12-30,37
The Christmas Song (Merry Christmas To You),Nat King Cole,2017-12-30,38
The Weekend,SZA,2017-12-30,39
Unforgettable,French Montana Featuring Swae Lee,2017-12-30,40
A Holly Jolly Christmas,Burl Ives,2017-12-30,41
Attention,Charlie Puth,2017-12-30,42
That's What I Like,Bruno Mars,2017-12-30,43
Last Christmas,Wham!,2017-12-30,44
Ric Flair Drip,Offset &amp; Metro Boomin,2017-12-30,45
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2017-12-30,46
Humble.,Kendrick Lamar,2017-12-30,47
There's Nothing Holdin' Me Back,Shawn Mendes,2017-12-30,48
End Game,Taylor Swift Featuring Ed Sheeran &amp; Future,2017-12-30,49
Kooda,6ix9ine,2017-12-30,50
Roll In Peace,Kodak Black Featuring XXXTENTACION,2017-12-30,51
Greatest Love Story,LANCO,2017-12-30,52
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie &amp; Kodak Black",2017-12-30,53
Like I Loved You,Brett Young,2017-12-30,54
Rubbin Off The Paint,YBN Nahmir,2017-12-30,55
Let Me Go,Hailee Steinfeld &amp; Alesso Featuring Florida Georgia Line &amp; Watt,2017-12-30,56
What About Us,P!nk,2017-12-30,57
Lemon,N*E*R*D &amp; Rihanna,2017-12-30,58
Lights Down Low,MAX Featuring gnash,2017-12-30,59
I'll Name The Dogs,Blake Shelton,2017-12-30,60
Never Be The Same,Camila Cabello,2017-12-30,61
Candy Paint,Post Malone,2017-12-30,62
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2017-12-30,63
Good Old Days,Macklemore Featuring Kesha,2017-12-30,64
Light It Up,Luke Bryan,2017-12-30,65
Yours,Russell Dickerson,2017-12-30,66
Go Legend,Big Sean &amp; Metro Boomin Featuring Travis Scott,2017-12-30,67
When It Rains It Pours,Luke Combs,2017-12-30,68
Round Here Buzz,Eric Church,2017-12-30,69
Look What You Made Me Do,Taylor Swift,2017-12-30,70
Unforgettable,Thomas Rhett,2017-12-30,71
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,2017-12-30,72
Betrayed,Lil Xan,2017-12-30,73
Losing Sleep,Chris Young,2017-12-30,74
Echame La Culpa,Luis Fonsi &amp; Demi Lovato,2017-12-30,75
Pick It Up,Famous Dex Featuring A$AP Rocky,2017-12-30,76
My Dawg,Lil Baby,2017-12-30,77
I Could Use A Love Song,Maren Morris,2017-12-30,78
MIC Drop,BTS Featuring Desiigner,2017-12-30,79
Pull Up N Wreck,Big Sean &amp; Metro Boomin Featuring 21 Savage,2017-12-30,80
Tell Me You Love Me,Demi Lovato,2017-12-30,81
Danger,Migos &amp; Marshmello,2017-12-30,82
You Broke Up With Me,Walker Hayes,2017-12-30,83
Wanted You,NAV Featuring Lil Uzi Vert,2017-12-30,84
Dusk Till Dawn,Zayn Featuring Sia,2017-12-30,85
Untouchable,Eminem,2017-12-30,86
Mayores,Becky G Featuring Bad Bunny,2017-12-30,87
F**k Love,XXXTENTACION Featuring Trippie Redd,2017-12-30,88
Written In The Sand,Old Dominion,2017-12-30,89
Ghostface Killers,"21 Savage, Offset &amp; Metro Boomin Featuring Travis Scott",2017-12-30,90
Too Much To Ask,Niall Horan,2017-12-30,91
Marry Me,Thomas Rhett,2017-12-30,92
No Smoke,YoungBoy Never Broke Again,2017-12-30,93
When We,Tank,2017-12-30,94
Five More Minutes,Scotty McCreery,2017-12-30,95
Juice,Yo Gotti,2017-12-30,96
All On Me,Devin Dawson,2017-12-30,97
Jocelyn Flores,XXXTENTACION,2017-12-30,98
Legends,Kelsea Ballerini,2017-12-30,99
Faking It,Calvin Harris Featuring Kehlani &amp; Lil Yachty,2017-12-30,100
Perfect,Ed Sheeran,2017-12-23,1
Rockstar,Post Malone Featuring 21 Savage,2017-12-23,2
Havana,Camila Cabello Featuring Young Thug,2017-12-23,3
Gucci Gang,Lil Pump,2017-12-23,4
Thunder,Imagine Dragons,2017-12-23,5
Too Good At Goodbyes,Sam Smith,2017-12-23,6
No Limit,G-Eazy Featuring A$AP Rocky &amp; Cardi B,2017-12-23,7
Bad At Love,Halsey,2017-12-23,8
Bodak Yellow (Money Moves),Cardi B,2017-12-23,9
What Lovers Do,Maroon 5 Featuring SZA,2017-12-23,10
All I Want For Christmas Is You,Mariah Carey,2017-12-23,11
Feel It Still,Portugal. The Man,2017-12-23,12
Gummo,6ix9ine,2017-12-23,13
I Get The Bag,Gucci Mane Featuring Migos,2017-12-23,14
MotorSport,"Migos, Nicki Minaj &amp; Cardi B",2017-12-23,15
Sorry Not Sorry,Demi Lovato,2017-12-23,16
New Rules,Dua Lipa,2017-12-23,17
Mi Gente,J Balvin &amp; Willy William Featuring Beyonce,2017-12-23,18
1-800-273-8255,Logic Featuring Alessia Cara &amp; Khalid,2017-12-23,19
Wolves,Selena Gomez X Marshmello,2017-12-23,20
Him & I,G-Eazy &amp; Halsey,2017-12-23,21
Let You Down,NF,2017-12-23,22
I Fall Apart,Post Malone,2017-12-23,23
Bank Account,21 Savage,2017-12-23,24
Shape Of You,Ed Sheeran,2017-12-23,25
How Long,Charlie Puth,2017-12-23,26
Love.,Kendrick Lamar Featuring Zacari,2017-12-23,27
Young Dumb & Broke,Khalid,2017-12-23,28
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2017-12-23,29
Believer,Imagine Dragons,2017-12-23,30
Meant To Be,Bebe Rexha &amp; Florida Georgia Line,2017-12-23,31
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-12-23,32
Silence,Marshmello Featuring Khalid,2017-12-23,33
Unforgettable,French Montana Featuring Swae Lee,2017-12-23,34
Sky Walker,Miguel Featuring Travis Scott,2017-12-23,35
Attention,Charlie Puth,2017-12-23,36
Rockin' Around The Christmas Tree,Brenda Lee,2017-12-23,37
The Weekend,SZA,2017-12-23,38
End Game,Taylor Swift Featuring Ed Sheeran &amp; Future,2017-12-23,39
That's What I Like,Bruno Mars,2017-12-23,40
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2017-12-23,41
The Christmas Song (Merry Christmas To You),Nat King Cole,2017-12-23,42
...Ready For It?,Taylor Swift,2017-12-23,43
Ric Flair Drip,Offset &amp; Metro Boomin,2017-12-23,44
It's The Most Wonderful Time Of The Year,Andy Williams,2017-12-23,45
There's Nothing Holdin' Me Back,Shawn Mendes,2017-12-23,46
A Holly Jolly Christmas,Burl Ives,2017-12-23,47
Rubbin Off The Paint,YBN Nahmir,2017-12-23,48
Congratulations,Post Malone Featuring Quavo,2017-12-23,49
Humble.,Kendrick Lamar,2017-12-23,50
What About Us,P!nk,2017-12-23,51
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie &amp; Kodak Black",2017-12-23,52
Tell Me You Love Me,Demi Lovato,2017-12-23,53
Greatest Love Story,LANCO,2017-12-23,54
Let Me Go,Hailee Steinfeld &amp; Alesso Featuring Florida Georgia Line &amp; Watt,2017-12-23,55
Roll In Peace,Kodak Black Featuring XXXTENTACION,2017-12-23,56
Light It Up,Luke Bryan,2017-12-23,57
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2017-12-23,58
Candy Paint,Post Malone,2017-12-23,59
Lemon,N*E*R*D &amp; Rihanna,2017-12-23,60
Kooda,6ix9ine,2017-12-23,61
Like I Loved You,Brett Young,2017-12-23,62
I'll Name The Dogs,Blake Shelton,2017-12-23,63
Good Old Days,Macklemore Featuring Kesha,2017-12-23,64
When It Rains It Pours,Luke Combs,2017-12-23,65
Lights Down Low,MAX Featuring gnash,2017-12-23,66
Yours,Russell Dickerson,2017-12-23,67
Betrayed,Lil Xan,2017-12-23,68
Unforgettable,Thomas Rhett,2017-12-23,69
Round Here Buzz,Eric Church,2017-12-23,70
MIC Drop,BTS Featuring Desiigner,2017-12-23,71
Look What You Made Me Do,Taylor Swift,2017-12-23,72
Pick It Up,Famous Dex Featuring A$AP Rocky,2017-12-23,73
The Race,Tay-K,2017-12-23,74
Echame La Culpa,Luis Fonsi &amp; Demi Lovato,2017-12-23,75
Wanted You,NAV Featuring Lil Uzi Vert,2017-12-23,76
Losing Sleep,Chris Young,2017-12-23,77
Dusk Till Dawn,Zayn Featuring Sia,2017-12-23,78
Love So Soft,Kelly Clarkson,2017-12-23,79
I Could Use A Love Song,Maren Morris,2017-12-23,80
Ghostface Killers,"21 Savage, Offset &amp; Metro Boomin Featuring Travis Scott",2017-12-23,81
F**k Love,XXXTENTACION Featuring Trippie Redd,2017-12-23,82
Mayores,Becky G Featuring Bad Bunny,2017-12-23,83
You Broke Up With Me,Walker Hayes,2017-12-23,84
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage &amp; Rvssian",2017-12-23,85
When We,Tank,2017-12-23,86
Jocelyn Flores,XXXTENTACION,2017-12-23,87
Written In The Sand,Old Dominion,2017-12-23,88
Too Much To Ask,Niall Horan,2017-12-23,89
Broken Halos,Chris Stapleton,2017-12-23,90
All On Me,Devin Dawson,2017-12-23,91
Transportin',Kodak Black,2017-12-23,92
Juice,Yo Gotti,2017-12-23,93
Ask Me How I Know,Garth Brooks,2017-12-23,94
Bella y Sensual,Romeo Santos Featuring Nicky Jam &amp; Daddy Yankee,2017-12-23,95
Faking It,Calvin Harris Featuring Kehlani &amp; Lil Yachty,2017-12-23,96
Marry Me,Thomas Rhett,2017-12-23,97
Five More Minutes,Scotty McCreery,2017-12-23,98
Criminal,Natti Natasha x Ozuna,2017-12-23,99
Sauce It Up,Lil Uzi Vert,2017-12-23,100
Rockstar,Post Malone Featuring 21 Savage,2017-12-16,1
Havana,Camila Cabello Featuring Young Thug,2017-12-16,2
Perfect,Ed Sheeran,2017-12-16,3
Gucci Gang,Lil Pump,2017-12-16,4
Thunder,Imagine Dragons,2017-12-16,5
Too Good At Goodbyes,Sam Smith,2017-12-16,6
Bodak Yellow (Money Moves),Cardi B,2017-12-16,7
No Limit,G-Eazy Featuring A$AP Rocky &amp; Cardi B,2017-12-16,8
What Lovers Do,Maroon 5 Featuring SZA,2017-12-16,9
Feel It Still,Portugal. The Man,2017-12-16,10
Bad At Love,Halsey,2017-12-16,11
Sorry Not Sorry,Demi Lovato,2017-12-16,12
Mi Gente,J Balvin &amp; Willy William Featuring Beyonce,2017-12-16,13
1-800-273-8255,Logic Featuring Alessia Cara &amp; Khalid,2017-12-16,14
New Rules,Dua Lipa,2017-12-16,15
I Get The Bag,Gucci Mane Featuring Migos,2017-12-16,16
MotorSport,"Migos, Nicki Minaj &amp; Cardi B",2017-12-16,17
Bank Account,21 Savage,2017-12-16,18
I Fall Apart,Post Malone,2017-12-16,19
Wolves,Selena Gomez X Marshmello,2017-12-16,20
All I Want For Christmas Is You,Mariah Carey,2017-12-16,21
Young Dumb & Broke,Khalid,2017-12-16,22
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-12-16,23
Unforgettable,French Montana Featuring Swae Lee,2017-12-16,24
Believer,Imagine Dragons,2017-12-16,25
Shape Of You,Ed Sheeran,2017-12-16,26
Love.,Kendrick Lamar Featuring Zacari,2017-12-16,27
MIC Drop,BTS Featuring Desiigner,2017-12-16,28
Let You Down,NF,2017-12-16,29
Attention,Charlie Puth,2017-12-16,30
...Ready For It?,Taylor Swift,2017-12-16,31
How Long,Charlie Puth,2017-12-16,32
What About Us,P!nk,2017-12-16,33
Rake It Up,Yo Gotti Featuring Nicki Minaj,2017-12-16,34
Praying,Kesha,2017-12-16,35
Silence,Marshmello Featuring Khalid,2017-12-16,36
